"Isbn"	"Title"
"9780026890380"	"The Real Mother Goose"
"9780027082302"	"Save Sirrushany! Also Agotha, Princess Gwyn, And All The Fearsome Beas"
"9780027357813"	"A Long Way From Verona"
"9780027582000"	"The Lion, The Witch And The Wardrobe (The Chronicles Of Narnia)"
"9780027701302"	"Hatchet"
"9780028600819"	"The Weight Watchers Complete Exercise Book"
"9780028604039"	"The New York Public Library Science Desk Reference (The New York Publi"
"9780028604190"	"Once Upon A More Enlightened Time: More Politically Correct Bedtime St"
"9780028604206"	"Politically Correct Holiday Stories: For An Enlightened Yuletide Seaso"
"9780028604695"	"Frommer's Walking Tours: Paris (2nd Edition)"
"9780028606354"	"Frommer's 96 Frugal Traveler's Guides: Europe From $50 A Day (Serial)"
"9780028606736"	"Baedeker New York (Baedeker's City Guides)"
"9780028610108"	"How To Cook Everything: Simple Recipes For Great Food"
"9780028610863"	"The Complete Idiot's Guide To Managing Stress"
"9780028612676"	"Simply Heavenly!: The Monastery Vegetarian Cookbook"
"9780028613222"	"The New York Public Library American History Desk Reference"
"9780028613437"	"The Complete Idiot's Guide To Getting Rich"
"9780028617275"	"The Tea Companion: A Connoisseur's Guide"
"9780028617367"	"The Complete Idiot's Guide To Chess"
"9780028620664"	"Betty Crocker's Best Of Baking: More Than 350 Of America's Favorite Re"
"9780028621234"	"The Complete Idiot's Guide To Knitting And Crocheting"
"9780028625751"	"The Complete Illustrated Guide To Everything Sold In Hardware Stores"
"9780028626154"	"The Unofficial Guide To Disneyland 1999 (Serial)"
"9780028626956"	"The Unofficial Guide To Having A Baby"
"9780028630090"	"Betty Crocker's New Cookbook"
"9780028630236"	"Betty Crocker's Best Bread Machine Cookbook: The Goodness Of Homemade "
"9780028634692"	"Betty Crocker's Slow Cooker Cookbook"
"9780028639222"	"Rendezvous With Destiny A History Of Mod"
"9780028642338"	"The Complete Idiot's Guide To Understanding Islam (The Complete Idiot'"
"9780028702506"	"Schirmer Pronouncing Pocket Manual Of Musical Terms"
"9780029023105"	"Denial Of Death"
"9780029087107"	"History Of The Southern Confederacy"
"9780029205280"	"Men Astutely Trained: A History Of The Jesuits In The American Century"
"9780029281116"	"The Passionate Mind: Bringing Up An Intelligent And Creative Child"
"9780029639009"	"Dutch For Travellers"
"9780030020780"	"Principles Of Instrumental Analysis, 5th Edition"
"9780030037160"	"The Breast"
"9780030056284"	"Second Daughter: Growing Up In China 1930-1949"
"9780030074318"	"The Prydain Chronicles"
"9780030096181"	"Organic Chemistry (Saunders Golden Sunburst Series)"
"9780030119507"	"Castle Of Otranto"
"9780030149061"	"The Doonesbury Chronicles / G. B. Trudeau ; With An Introduction By Ga"
"9780030181016"	"A Kiss On The Nose Turns Anger Aside"
"9780030195167"	"A Plan For Writing"
"9780030211218"	"McClane's Field Guide To Saltwater Fishes Of North America: A Project "
"9780030226861"	"The Cheyennes: Indians Of The Great Plains (Case Studies In Cultural A"
"9780030291791"	"Business Marketing Management: A Strategic View Of Industrial And Orga"
"9780030419966"	"Pathway To Ecstasy: The Way Of The Dream Mandala"
"9780030423918"	"Circus ABC"
"9780030442810"	"Creek Mary's Blood: A Novel"
"9780030448560"	"Doonesbury's Greatest Hits"
"9780030463266"	"ROBERT FROST A Tribute To The Source"
"9780030476266"	"Inheritance"
"9780030554384"	"Things Fall Apart: With Connections"
"9780030577864"	"The Haunting Of Suzanna Blackwell"
"9780030589539"	"Conduct Of Social Research"
"9780030597862"	"An Unknown Woman: A Journey To Self-Discovery"
"9780030598586"	"The Case Of The One-Penny Orange (A Masao Masuto Mystery)"
"9780030615320"	"Ask For May, Settle For June (A Doonesbury Book)"
"9780030622090"	"A Stolen Past"
"9780030628825"	"Way Of The Bull"
"9780030632365"	"Outrageous Acts And Everyday Rebellions"
"9780030640070"	"Craig Claibornes: A Feast Made For Laughter"
"9780030844928"	"The Vantage Point: Perspectives Of The Presidency, 1963-1969"
"9780030914560"	"Soldier"
"9780043510742"	"Metamorphosis"
"9780044402442"	"Immortal Blood"
"9780044409007"	"Women, Sex And Rock 'n' Roll: In Their Own Words (A Pandora Book)"
"9780044409571"	"No Angels: Women Who Commit Violence"
"9780048231390"	"The Silmarillion"
"9780060000790"	"The Treasure Of Montsegur: A Novel Of The Cathars"
"9780060000806"	"The Treasure Of Montsegur: A Novel Of The Cathars"
"9780060001339"	"The Creek"
"9780060001445"	"Her Highness, My Wife"
"9780060001452"	"Love With The Proper Husband"
"9780060002053"	"On A Wicked Dawn (Cynster Novels)"
"9780060002091"	"Ignorance: A Novel"
"9780060002435"	"Sons Of Heaven"
"9780060002497"	"Amazonia"
"9780060004385"	"The Death Of Vishnu: A Novel"
"9780060004538"	"The Neal Pollack Anthology Of American Literature: The Collected Writi"
"9780060004699"	"Engaged To Die (Death On Demand Mysteries, No. 14)"
"9780060004705"	"Engaged To Die (Death On Demand Mysteries, No. 14)"
"9780060005009"	"Elvis The Rooster Almost Goes To Heaven (I Can Read Book 3)"
"9780060005429"	"Lirael: Daughter Of The Clayr"
"9780060005559"	"Last To Die (Grippando, James)"
"9780060006044"	"Circle Of Three #12: Written In The Stars"
"9780060006761"	"Dresden: Tuesday, February 13, 1945"
"9780060007775"	"The Lies That Bind: A Novel"
"9780060007805"	"Boy Still Missing: A Novel"
"9780060008024"	"Angels"
"9780060008369"	"The Shadows Of Power"
"9780060008772"	"Pagan Babies"
"9780060008864"	"Do No Harm"
"9780060008871"	"Do No Harm"
"9780060009229"	"Call Each River Jordan (Abel Jones Mysteries)"
"9780060009243"	"See Jane Score"
"9780060009465"	"No Lifeguard On Duty: The Accidental Life Of The World's First Supermo"
"9780060009649"	"Crush Depth"
"9780060011918"	"Small Town"
"9780060012038"	"Dr. Atkins' New Diet Revolution"
"9780060012335"	"The Amazing Maurice And His Educated Rodents"
"9780060013110"	"Night Watch: A Novel Of Discworld"
"9780060080846"	"The Stepford Wives"
"9780060081188"	"Mr. Lincoln's Wars: A Novel In Thirteen Stories"
"9780060081652"	"The Second Coming Of Lucy Hatch: A Novel"
"9780060081966"	"Once Upon A Town: The Miracle Of The North Platte Canteen"
"9780060082192"	"Rum Punch"
"9780060083267"	"Sleeping Beauty (Margolin, Phillip)"
"9780060083298"	"The Dominant Blonde"
"9780060083946"	"Tishomingo Blues"
"9780060083953"	"Mr. Paradise:  A Novel"
"9780060084028"	"The Big Bounce"
"9780060084400"	"Bread Alone: A Novel"
"9780060084455"	"Chasing Rumi: A Fable About Finding The Heart's True Desire"
"9780060085445"	"She Went All The Way"
"9780060085896"	"Frida: A Biography Of Frida Kahlo"
"9780060086244"	"Last Chance Saloon"
"9780060086381"	"Filthy Rich"
"9780060088293"	"Choices: Taking Control Of Your Life And Making It Matter"
"9780060089290"	"Kiss Lonely Goodbye"
"9780060090364"	"Watermelon"
"9780060090371"	"Lucy Sullivan Is Getting Married"
"9780060090388"	"Rachel's Holiday"
"9780060092160"	"Two Cooks A-Killing: An Angie Amalfi Mystery"
"9780060092641"	"My Favorite Bride (Governess Brides, Book 6)"
"9780060092962"	"Adventures Of A Scottish Heiress"
"9780060093419"	"The Case Of The Tattooed Cat"
"9780060093594"	"The Conquest"
"9780060094393"	"Razor's Edge (Dale Brown's Dreamland)"
"9780060094744"	"Claws"
"9780060094850"	"The Torn Skirt"
"9780060095277"	"Fire Lover: A True Story"
"9780060096199"	"The Boy Next Door"
"9780060096205"	"A Little Help From Above"
"9780060096779"	"Your Mouth Is Lovely: A Novel"
"9780060097462"	"Dancing In My Nuddy-Pants: Even Further Confessions Of Georgia Nicolso"
"9780060097820"	"Zoya's Story: An Afghan Woman's Struggle For Freedom"
"9780060098537"	"Black Silk"
"9780060099060"	"Meant To Be"
"9780060112714"	"The Azanian Assignment"
"9780060116187"	"My Side: The Autobiography Of Ruth Gordon"
"9780060119072"	"People Of Darkness"
"9780060139148"	"The Gulag Archipelago, 1918-1956: An Experiment In Literary Investigat"
"9780060149420"	"Touchstones: Letters Between Two Women, 1953-1964"
"9780060152581"	"The Unbearable Lightness Of Being"
"9780060153014"	"Brave Brush-Tail Possum (Weekly Reader Children's Book Club Presents)"
"9780060154561"	"Always Coming Home/Paperback Book And Cassette"
"9780060154967"	"Love, Medicine, And Miracles"
"9780060157814"	"Why Do Clocks Run Clockwise? And Other Imponderables: Mysteries Of Eve"
"9780060157999"	"Peachtree Road"
"9780060158637"	"The Bean Trees"
"9780060159085"	"Oscar And Lucinda"
"9780060161859"	"Valsalva's Maneuver: Mots Justes And Indispensable Terms"
"9780060162498"	"Outer Banks"
"9780060163099"	"365 Easy Low-Calorie Recipes (365 Ways)"
"9780060163280"	"Bones: A Forensic Detective's Casebook"
"9780060163402"	"The Perfect Murder: Five Great Mystery Writers Create The Perfect Crim"
"9780060163709"	"Coyote Waits"
"9780060163747"	"Return To Love: Reflections On The Principles Of A Course In Miracles"
"9780060164669"	"""28 Barbary Lane: A """"Tales Of The City"""" Omnibus"""
"9780060165970"	"Care Of The Soul: A Guide For Cultivating Depth And Sacredness In Ever"
"9780060167035"	"The Sweet Hereafter: A Novel"
"9780060167080"	"Making History: The Struggle For Gay And Lesbian Equal Rights, 1945-19"
"9780060167684"	"After All These Years"
"9780060168018"	"Pigs In Heaven"
"9780060168483"	"Men Are From Mars, Women Are From Venus: A Practical Guide For Improvi"
"9780060168520"	"I Hope: Reminiscences And Reflections"
"9780060168537"	"The Real Thing: Stories And Sketches"
"9780060168605"	"Cloudsplitter: A Novel"
"9780060169282"	"Soul Mates: Honoring The Mysteries Of Love And Relationship"
"9780060169619"	"365 Ways To Cook Chinese"
"9780060170448"	"Eat Smart, Think Smart: How To Use Nutrients And Supplements To Achiev"
"9780060170806"	"The Bingo Palace"
"9780060170837"	"The Things That Matter Most"
"9780060171322"	"The Blue Jay's Dance: A Birth Year"
"9780060171407"	"The Power Of Beauty"
"9780060171438"	"The Night Listener: A Novel"
"9780060171513"	"A Feather On The Breath Of God: A Novel"
"9780060171629"	"What Your Mother Couldn't Tell You And Your Father Didn't Know: Advanc"
"9780060171926"	"Mutant Message Down Under"
"9780060172756"	"Rule Of The Bone"
"9780060172787"	"A Long Way Home"
"9780060173081"	"Ten Stupid Things Men Do To Mess Up Their Lives"
"9780060173098"	"Ecstasy Club: A Novel"
"9780060173210"	"Don't Pee On My Leg And Tell Me It's Raining"
"9780060173289"	"Divine Secrets Of The Ya-Ya Sisterhood: A Novel"
"9780060174057"	"The Tennis Partner"
"9780060174118"	"The Woman Who Lives In The Earth"
"9780060174903"	"The Bell Jar, 25th Anniversary Edition"
"9780060175184"	"The Fourth Estate"
"9780060175405"	"The Poisonwood Bible"
"9780060175535"	"Young Wives: A Novel"
"9780060175689"	"Switcheroo: A Novel"
"9780060175795"	"The Bean Trees Anniversary Edition: A Novel"
"9780060175962"	"The Professor And The Madman"
"9780060176150"	"Up Island"
"9780060176532"	"Breakthrough: The Next Step"
"9780060176563"	"Rebel: The Life And Legend Of James Dean"
"9780060176624"	"The Trouble With A Hot Summer: A Simona Griffo Mystery (Simona Griffo "
"9780060176877"	"Love, Again"
"9780060177010"	"Death Penalty: A Novel"
"9780060177225"	"Dangerous To Know"
"9780060177249"	"The Thief Of Always: A Fable"
"9780060177584"	"Standing Firm: Dan Quayle"
"9780060177881"	"All I Know About Animal Behavior I Learned In Loehmann's Dressing Room"
"9780060178246"	"The Passion Dream Book (SIGNED)"
"9780060179229"	"River Of Darkness: A Novel Of Suspense"
"9780060179342"	"Downtown"
"9780060179359"	"Hill Towns"
"9780060179717"	"Deadly Perfume: An International Thriller"
"9780060179984"	"The Journeyman Tailor"
"9780060182687"	"Power Of A Woman"
"9780060182793"	"Anam Cara: A Book Of Celtic Wisdom"
"9780060182977"	"Coldheart Canyon: A Hollywood Ghost Story"
"9780060183035"	"Coming To Terms: A Novel"
"9780060183134"	"Wouldn't It Be Nice: My Own Story"
"9780060183523"	"Our Kind Of People: Inside America's Black Upper Class"
"9780060185145"	"Courting Trouble"
"9780060185251"	"Faithless: Tales Of Transgression"
"9780060185282"	"Flight Lessons"
"9780060185435"	"Ladies Of The Grand Tour: British Women In Pursuit Of Enlightenment An"
"9780060185701"	"The Reluctant Suitor"
"9780060185718"	"Triggerfish Twist: A Novel"
"9780060186869"	"The Blessing Of The Animals: True Stories Of Ginny, The Dog Who Rescue"
"9780060186944"	"Leading With My Chin"
"9780060187002"	"Design For Dying"
"9780060187279"	"The Last Report On The Miracles At Little No Horse: A Novel"
"9780060188733"	"Bel Canto: A Novel"
"9780060188887"	"The Promise In A Kiss: A Cynster Christmas Novel"
"9780060191016"	"Lipshtick"
"9780060191054"	"The Bachelor's Cat: A Love Story"
"9780060191344"	"RealAge: Are You As Young As You Can Be?"
"9780060191535"	"Perfect Murder, Perfect Town:  JonBenet And The City Of Boulder"
"9780060191870"	"The Run"
"9780060191924"	"The Saving Graces: A Novel"
"9780060191979"	"Pilgrim"
"9780060191986"	"A Night Without Armor: Poems"
"9780060192112"	"As Nature Made Him: The Boy Who Was Raised As A Girl"
"9780060192242"	"The Collected Short Stories: Jeffrey Archer's Previously Published Sto"
"9780060192303"	"There's A Spiritual Solution To Every Problem"
"9780060192631"	"One Heart: A Novel"
"9780060192709"	"Beauty Fades, Dumb Is Forever: The Making Of A Happy Woman"
"9780060192891"	"Hunting Badger"
"9780060192952"	"Hello To The Cannibals: A Novel"
"9780060193287"	"Plato, Not Prozac! Applying Philosophy To Everyday Problems"
"9780060193324"	"First They Killed My Father: A Daughter Of Cambodia Remembers"
"9780060193386"	"A History Of The Wife"
"9780060193393"	"Body For Life: 12 Weeks To Mental And Physical Strength"
"9780060193454"	"The Divine Secrets Of The Ya Ya Sisterhood"
"9780060193683"	"Rule By Secrecy: The Hidden History That Connects The Trilateral Commi"
"9780060193706"	"Why She Left Us"
"9780060193751"	"Circle Of Three: A Novel"
"9780060193881"	"A Bloodhound To Die For (Jo Beth Sidden, No 6)"
"9780060193935"	"If The Gods Had Meant Us To Vote They Would Have Given Us Candidates"
"9780060194147"	"The Catsitters: A Novel"
"9780060194178"	"About The Author"
"9780060194796"	"Waiting : The True Confessions Of A Waitress"
"9780060194918"	"Daughter Of Fortune: A Novel"
"9780060194994"	"To Kill A Mockingbird"
"9780060195410"	"Blue Angel: A Novel"
"9780060195465"	"Keep It Simple, Stupid: You're Smarter Than You Look"
"9780060196301"	"U.S.S. Seawolf"
"9780060196578"	"The Girls Of Summer: The U.S. Women's Soccer Team And How It Changed T"
"9780060196660"	"A Stay Against Confusion: Essays On Faith And Fiction"
"9780060198121"	"Coastliners: A Novel"
"9780060198138"	"Five Quarters Of The Orange"
"9780060198183"	"The Lost Fleet: The Discovery Of A Sunken Armada From The Golden Age O"
"9780060198305"	"The Burglar On The Prowl (Block, Lawrence)"
"9780060198329"	"Hope To Die (Matthew Scudder Mysteries)"
"9780060198503"	"Extra Virgin: A Young Woman Discovers The Italian Riviera, Where Every"
"9780060198527"	"Population: 485: Meeting Your Neighbors One Siren At A Time"
"9780060199104"	"What's The Girl Worth?"
"9780060199296"	"Today I Am A Ma'am: And Other Musings On Life, Beauty, And Growing Old"
"9780060199562"	"Thief Of Time"
"9780060199654"	"Prodigal Summer"
"9780060201869"	"Amelia Bedelia (I Can Read Book 2)"
"9780060233341"	"Walk Two Moons (Newbery Medal Book)"
"9780060233532"	"David And Della: A Novel"
"9780060235284"	"Julie (Julie Of The Wolves)"
"9780060235338"	"A Pussycat's Christmas"
"9780060242381"	"Shape Changer"
"9780060244156"	"Betsy-Tacy"
"9780060244750"	"Deliver Us From Evie"
"9780060248024"	"Falling Up"
"9780060256258"	"The Land Of Narnia: Brian Sibley Explores The World Of C. S. Lewis"
"9780060256654"	"The Giving Tree"
"9780060256661"	"The Giving Tree"
"9780060256678"	"Where The Sidewalk Ends: Poems And Drawings"
"9780060256685"	"Where The Sidewalk Ends: Poems And Drawings"
"9780060256739"	"A Light In The Attic"
"9780060256746"	"A Light In The Attic"
"9780060259075"	"A Little Prairie House (Little House)"
"9780060269920"	"Absolutely Normal Chaos"
"9780060274061"	"Julie's Wolf Pack (Julie Of The Wolves)"
"9780060275105"	"Ella Enchanted (Newbery Honor Book)"
"9780060275853"	"Red Scarf Girl: A Memoir Of The Cultural Revolution"
"9780060277475"	"I Was A Teenage Fairy"
"9780060277499"	"Violet &amp; Claire"
"9780060278229"	"Our Only May Amelia (Newbery Honor Book, 2000)"
"9780060278236"	"Lirael: Daughter Of The Clayr"
"9780060278250"	"Abhorsen (The Abhorsen Trilogy)"
"9780060281762"	"Freewill"
"9780060282325"	"The Color Of My Words"
"9780060283124"	"The Bad Beginning (A Series Of Unfortunate Events, Book 1)"
"9780060284770"	"Zlateh The Goat And Other Stories"
"9780060286446"	"Wasteland"
"9780060286880"	"Nightmare Hour: Time For Terror"
"9780060287368"	"Hippolyta And The Curse Of The Amazons"
"9780060287399"	"Boston Jane Series: An Adventure"
"9780060287801"	"Judge Judy Sheindlin's Win Or Lose By How You Choose"
"9780060290306"	"Angel On The Square"
"9780060293154"	"The Two Princesses Of Bamarre"
"9780060294656"	"Princess In The Spotlight (The Princess Diaries, Vol. 2)"
"9780060294694"	"All-American Girl"
"9780060294885"	"The Paper Doorway: Funny Verse And Nothing Worse"
"9780060298777"	"The Lives Of Christopher Chant (Chrestomanci Books)"
"9780060391027"	"A Village Affair"
"9780060391447"	"Wicked: The Life And Times Of The Wicked Witch Of The West"
"9780060391508"	"Enter The Zone: A Dietary Road Map"
"9780060391539"	"Quivers: A Life"
"9780060391621"	"I Know This Much Is True"
"9780060391638"	"Slouching Towards Gomorrah"
"9780060392413"	"Zone-Perfect Meals In Minutes"
"9780060392437"	"The Anti-Aging Zone"
"9780060392451"	"Stupid White Men ...And Other Sorry Excuses For The State Of The Natio"
"9780060392703"	"Do Less, Achieve More: Discover The Hidden Power Of Giving In"
"9780060392826"	"Confessions Of An Ugly Stepsister"
"9780060393144"	"The Summer Wind : Thomas Capano And The Murder Of Anne Marie Fahey"
"9780060393403"	"The Case Against Hillary Clinton"
"9780060393823"	"Lost: A Novel"
"9780060393847"	"Mirror Mirror: A Novel"
"9780060394363"	"Homesick: A Memoir"
"9780060394448"	"Tommy's Tale"
"9780060406042"	"The Developing Child"
"9780060501174"	"I'll Take You There: A Novel"
"9780060502256"	"Divine Secrets Of The Ya-Ya Sisterhood"
"9780060502300"	"The Great Train Robbery"
"9780060502317"	"Breaking All The Rules"
"9780060502324"	"I've Got You, Babe"
"9780060503468"	"Isabel's Daughter: A Novel"
"9780060503475"	"Isabel's Daughter: A Novel"
"9780060503536"	"Her Scandalous Intentions"
"9780060504076"	"Small Wonder: Essays"
"9780060504083"	"Small Wonder: Essays"
"9780060504113"	"Die In Plain Sight"
"9780060504137"	"The Color Of Death"
"9780060505240"	"Where's My Hero?"
"9780060505264"	"The Sewing Circles Of Herat: A Personal Voyage Through Afghanistan"
"9780060505271"	"The Sewing Circles Of Herat: A Personal Voyage Through Afghanistan"
"9780060505554"	"To The Heart Of The Nile: Lady Florence Baker And The Exploration Of C"
"9780060505882"	"The Scandalous Summer Of Sissy LeBlanc: A Novel"
"9780060506513"	"The Fifth Ring"
"9780060506674"	"Every Secret Thing: A Novel"
"9780060506759"	"The Emerald Cavern (Fifth Ring)"
"9780060506988"	"We Were Soldiers Once... And Young: Ia Drang--The Battle That Changed "
"9780060507237"	"Buddhism Is Not What You Think: Finding Freedom Beyond Beliefs"
"9780060507404"	"The Cheese Monkeys: A Novel In Two Semesters"
"9780060507770"	"The Last Hero: A Discworld Fable"
"9780060507848"	"A Promising Man (and About Time, Too)"
"9780060508876"	"Beautiful Child"
"9780060509170"	"City Of The Beasts"
"9780060509187"	"City Of The Beasts"
"9780060509392"	"Mrs. Kimble: A Novel"
"9780060509408"	"Mrs. Kimble: A Novel"
"9780060510329"	"La Ciudad De Las Bestias (Spanish Edition)"
"9780060511500"	"The Further Observations Of Lady Whistledown"
"9780060512804"	"Cryptonomicon"
"9780060512828"	"The Poisonwood Bible: A Novel"
"9780060513887"	"Important Things That Don't Matter"
"9780060514051"	"How To Treat A Lady (Talisman Ring)"
"9780060514068"	"Molly Moon's Incredible Book Of Hypnotism"
"9780060514693"	"XXX"
"9780060514938"	"Dead Ringer"
"9780060514945"	"Dead Ringer"
"9780060516284"	"Gallow's Thief"
"9780060517212"	"If The Slipper Fits"
"9780060517618"	"The Lady In Question"
"9780060517625"	"The Pursuit Of Marriage"
"9780060517793"	"Little Altars Everywhere: A Novel"
"9780060518042"	"The Secret History"
"9780060520229"	"Taming Your Gremlin: A Surprisingly Simple Method For Getting Out Of Y"
"9780060520502"	"Sushi For Beginners: A Novel"
"9780060520519"	"The Other Side Of The Story: A Novel"
